Frequenz,Ue,Ua,Phi,dB
10,9.79E-02,5.264,179.9,34.6106637760552
50,9.80E-02,5.264,179.7,34.6017960982681
100,9.81E-02,5.264,179.6,34.592937464519
500,9.81E-02,5.246,178.1,34.5631855774877
1.00E+03,9.81E-02,5.199,175.4,34.4850162010726
2.00E+03,9.81E-02,5.106,171.4,34.3282360617657
3.00E+03,9.81E-02,5.025,168,34.1893411742515
5.00E+03,9.81E-02,4.869,162,33.9154153433189
7.00E+03,9.81E-02,4.688,156,33.5863719126017
1.00E+04,9.81E-02,4.367,148,32.9702836908278
2.00E+04,9.81E-02,3.269,128,30.4549182640084
3.00E+04,9.81E-02,2.7,128,28.7938951355808
3.50E+04,1.00E-01,2.19,113,26.8088822968024
4.00E+04,1.00E-01,1.96,110,25.8451214271295
5.00E+04,1.02E-01,1.611,106,23.969907373146
7.00E+04,1.02E-01,1.178,101,21.2509023737833
1.00E+05,1.02E-01,8.42E-01,96,18.3342383947546
2.00E+05,1.02E-01,4.22E-01,89,12.3342455839951
3.00E+05,1.03E-01,2.83E-01,85,8.77898421638236
5.00E+05,1.03E-01,1.71E-01,78,4.41333071271924
7.00E+05,1.03E-01,1.22E-01,69,1.47045211939152
1.00E+06,1.03E-01,8.67E-02,61,-1.49636254457924
