Frequenz,Phi,dB
10,180,14.9171039034746
50,179,14.5175593472193
100,179,14.7260344897957
500,178,14.7412010788832
1.00E+03,178,14.6179753747203
5.00E+03,177,14.3647245013418
1.00E+04,175,14.2959250157937
2.00E+04,172,14.2512673871478
3.00E+04,168,14.1200653413445
4.00E+04,163,13.9794000867204
5.00E+04,160,13.8364192509271
7.00E+04,153,13.4683179972726
1.00E+05,142,12.6288753802634
1.50E+05,130,11.1213178498034
2.00E+05,120,9.73888331569062
2.50E+05,112,8.54084780752689
3.00E+05,108,7.17511498528203
4.00E+05,99,5.12435302495238
5.00E+05,91,3.40753551062504
6.00E+05,85,1.97219595771902
7.00E+05,80,0.655850267926149
8.00E+05,75,-0.347481921388455
1.00E+06,68,-2.41485244029384
